#longitude	latitude	city
-73.750000	42.670000	0
-71.180000	46.820000	17
-75.720000	45.400000	14
-86.170000	39.770000	8
-94.580000	39.100000	10
-100.350000	44.370000	16
-100.780000	46.800000	1
-105.520000	50.620000	12
-113.470000	53.570000	4
-114.020000	51.020000	2
-122.330000	47.620000	19
-119.820000	39.500000	18
-115.200000	36.170000	11
-111.680000	35.220000	5
-108.550000	39.080000	6
-96.770000	32.770000	3
-93.050000	34.520000	7
-86.780000	36.170000	13
-82.450000	27.950000	20
-81.670000	30.370000	9
-75.970000	36.850000	21
-77.030000	38.880000	22
-75.170000	39.950000	15
