#longitude	latitude	city
3.995100	44.939300	984
4.361500	44.982900	769
4.703900	44.922000	215
5.287000	44.998600	1001
5.726500	45.112900	987
5.422100	45.397900	980
6.116700	45.033300	979
6.322700	45.272600	1568
6.560200	45.470900	555
7.600000	45.800000	58
8.649800	45.995200	1305
8.552000	45.834200	393
8.850000	45.583300	271
9.033300	44.816700	248
9.183300	44.666700	1187
9.183300	44.750000	579
9.383300	44.883300	1347
9.094400	45.331000	195
9.166700	45.533300	400
9.150000	45.650000	1669
9.272500	45.580100	1196
9.427600	45.640500	1774
9.316700	45.700000	314
9.383300	45.633300	1537
9.464200	45.567100	1111
9.554900	45.542200	547
9.559600	45.681800	223
9.100000	46.083300	323
9.616700	46.000000	1899
9.966700	47.016700	1608
9.637700	46.990200	1657
9.050000	47.116700	2050
8.716000	47.069500	36
9.226900	47.325900	1646
8.916700	47.333300	565
8.711100	47.305600	1886
9.070600	47.409700	153
8.618800	47.418300	464
8.533300	47.400000	1005
8.587700	47.248500	731
8.533400	47.143400	2060
8.310200	47.267800	272
8.233500	46.899300	1466
7.670600	46.764000	1651
7.708900	46.321000	243
7.696100	46.658500	10
7.670100	47.144100	1655
7.263600	47.096300	793
7.051800	47.028400	603
6.749100	47.056200	981
6.905000	47.177100	998
7.081100	47.389000	576
7.145400	47.593700	591
7.329500	47.538800	1522
7.552900	47.501200	1823
7.466700	47.450000	1146
7.294200	47.929100	668
7.616700	47.783300	2054
8.016700	47.750000	722
8.283300	47.600000	1509
8.557500	47.681100	669
7.443900	48.125500	1508
8.216700	48.133300	763
7.572700	48.207900	1507
7.301400	48.285400	937
7.428300	48.542800	469
6.707600	48.539200	265
6.574500	48.161700	927
5.148000	48.357400	1531
4.964000	48.456900	1458
4.716000	48.434500	1051
5.003900	48.783300	1169
3.903100	48.469500	1895
4.935100	47.914900	86
6.312300	47.807800	1320
6.453400	47.622300	997
6.924100	47.489900	154
6.521200	47.309900	1472
6.279300	47.695700	1633
5.845000	47.718700	650
5.636500	47.581400	447
5.526900	47.458400	1232
5.712700	47.124700	1389
5.904100	46.946000	381
6.140300	47.033100	1699
6.488500	46.866600	929
6.604500	46.658900	649
6.882200	46.727600	1658
7.300000	46.716700	762
6.778000	46.482100	1552
6.520600	46.546600	246
6.833300	46.150000	140
6.105300	45.708300	1003
5.215300	45.757000	1573
4.644700	45.878000	344
5.186900	45.940600	1510
5.430200	45.907200	378
5.377600	46.080700	1257
6.010300	46.144200	1671
6.005800	46.154500	81
6.101800	46.183900	1311
6.223200	46.245700	540
6.204700	46.415400	1850
4.945300	46.875600	618
4.348900	47.143700	1097
3.971100	47.416400	90
4.895200	47.186400	1500
5.486500	47.021600	1338
5.724700	46.751600	550
5.216200	46.783100	1663
4.791500	46.551500	928
4.671500	46.670800	350
4.481800	46.306500	1117
4.418600	46.193100	96
4.625000	45.987300	943
4.115000	46.223900	1079
3.362500	46.443500	175
3.472600	46.255400	1610
3.055100	46.502500	622
3.004300	46.708600	1416
3.051900	46.676000	1023
2.841900	46.727500	542
2.450000	47.166700	1601
1.950000	47.483300	1000
2.172900	47.608900	1743
1.582400	47.344400	671
1.233900	47.613500	1562
1.009400	47.723500	742
1.525700	47.793700	806
1.381400	48.367100	1144
1.772600	48.463600	88
2.422500	48.602200	1031
1.877600	48.586000	654
2.221100	48.732600	638
2.204900	48.971100	401
2.288600	48.893900	1007
2.242300	49.140500	335
2.860200	48.941100	1940
2.370700	49.130800	1926
1.853600	49.549200	1732
1.772800	49.816200	1560
2.636300	50.373600	288
2.428600	50.295200	1627
2.686800	50.080900	155
2.648700	49.699000	1963
2.877400	49.437800	361
3.048000	49.588300	1579
3.134600	49.525200	290
3.296300	49.401700	1344
3.572300	49.475800	1182
3.555500	49.529600	1907
3.743500	49.700200	1847
3.840000	49.713000	935
4.480400	49.538200	1058
4.566700	49.516700	33
4.979800	49.634200	1497
4.657200	49.486900	1661
4.686500	49.137500	975
3.863000	49.175100	346
3.367900	49.002000	1271
3.477300	48.842000	1191
3.274300	48.365000	394
3.201500	48.902000	1567
2.768100	48.542800	405
2.949600	48.383600	1193
2.930400	48.335500	1274
2.116700	48.000000	934
2.291800	48.226000	1469
3.943400	47.911200	1852
3.432500	47.497400	342
3.280100	47.076000	112
3.159000	46.989600	1259
2.983300	47.116700	999
2.804000	47.070600	1941
3.265800	46.850600	1064
2.616700	47.033300	1820
1.861500	46.884900	1258
1.040300	47.055500	1922
0.296100	47.425700	730
-0.397600	47.455900	50
0.384000	47.683000	1186
0.083300	48.350000	986
-0.674800	48.853800	1906
-0.283100	48.973600	575
-0.395100	48.989100	331
0.021400	48.731400	810
-0.339100	48.495000	1253
-0.710300	48.645900	1040
-1.225400	49.043900	437
-1.530900	49.217000	1004
-1.337400	49.356100	1019
-0.282500	49.241500	1556
0.368400	49.556100	631
0.634800	49.531000	57
0.457700	49.485500	1800
0.852800	49.599500	415
0.966700	49.250000	1571
1.754400	49.195600	345
1.687600	49.176900	1195
1.436200	49.117600	1570
1.616700	49.316700	1564
1.590300	49.382900	1198
1.667300	49.582100	697
1.634300	49.937200	237
1.452000	49.806700	376
1.525300	50.041400	439
2.263500	50.397200	1373
2.424700	50.518500	558
2.254600	50.539400	955
1.773800	50.554600	171
1.831300	50.893300	1574
1.383300	52.033300	1471
0.866700	52.083300	1183
1.200000	52.500000	577
0.316700	52.000000	670
0.316700	51.900000	1831
-0.033300	51.633300	1403
0.300000	51.550000	1439
0.366700	51.666700	588
2.217700	50.996500	1041
2.950000	50.750000	145
3.716700	50.866700	233
3.683300	50.733300	526
3.800000	50.616700	1072
3.962700	50.264300	1050
4.327400	50.151100	590
3.642500	50.073300	321
3.580900	50.198400	1256
3.462400	50.153500	1931
3.166700	50.317300	533
3.053000	50.379300	974
2.981400	50.085800	172
2.956600	49.896600	1145
3.167100	49.856600	1404
3.062200	50.522200	83
3.443300	51.246100	505
3.566700	51.183300	506
3.550000	50.983300	79
3.816700	51.066700	1913
4.181700	51.417100	1511
4.383300	51.166700	188
4.016700	51.000000	1647
4.450000	50.866700	1707
4.600000	50.816700	1042
4.583300	50.833300	1649
4.533300	51.066700	1706
4.516700	51.200000	1998
4.397800	51.360200	1448
4.038500	51.650300	1315
4.611300	51.640100	2044
4.650000	51.583300	97
4.774700	51.514300	599
5.041300	51.674400	1952
5.134400	51.880200	6
5.345700	52.033400	480
5.190000	51.888700	158
5.116700	51.350000	911
4.800000	51.133300	455
4.700000	51.266700	2056
4.816700	51.033300	1470
4.900000	50.933300	1828
4.950000	51.100000	2039
5.233300	50.950000	1744
5.350000	51.100000	1746
5.716900	51.748800	1916
5.516700	52.100000	961
5.950000	52.066700	1819
6.288300	52.249300	149
6.561300	52.198000	463
6.499200	52.464300	451
5.850700	52.449700	443
4.625000	52.618800	508
5.738000	53.157600	607
6.068000	53.004500	645
6.075100	52.961300	1325
6.711400	52.570600	1461
6.714500	53.143200	910
7.036200	53.166500	204
7.533300	53.366700	1833
8.183300	53.133300	543
8.383300	52.633300	704
7.583300	52.516700	51
7.721200	52.368900	1488
8.583300	52.233300	247
9.753500	52.018900	735
9.213200	52.779400	544
9.816700	53.166700	1495
9.533300	53.283300	1835
9.300000	53.516700	1211
9.236800	53.802700	1303
8.916700	54.016700	589
9.150000	54.150000	561
9.000000	54.600000	554
8.549600	55.131100	891
8.491600	55.801300	1066
8.333300	56.266700	1872
9.357800	55.253700	1768
9.533300	55.233300	1754
9.968400	55.369300	549
12.034000	55.944400	907
12.600000	55.766700	876
11.478000	55.672400	1760
11.348900	55.286100	507
